"Номер рейса","Дата рейса","Кол-во пасс. эконом","Кол-во компл. факт. эконом","Кол-во пасс. бизнес","Кол-во компл. факт. бизнес","Кол-во экипаж","Кол-во компл. факт. экипаж"
"39","2017-01-01 12:05:00","167","176","1",,"7","7"
"39","2017-01-02 12:05:00","156","156","12","12","7","7"
"39","2017-01-03 12:05:00","156","168","12","12","7","7"
"39","2017-01-04 12:05:00","154","156","12","12","7","7"
"39","2017-01-05 12:05:00","137","156","11","12","7","7"
"39","2017-01-06 12:05:00","163","164","7","3","7","7"
"39","2017-01-07 12:05:00","149","168","7",,"6","6"
"39","2017-01-09 12:05:00","149","154","12","12","7","7"
"39","2017-01-10 12:05:00","158","159","1","3","6","6"
"39","2017-01-11 12:05:00","149","151","0","1","7","7"
"39","2017-01-12 12:05:00","152","154","11","12","7","7"
"39","2017-01-13 12:05:00","114","116","4","4","7","7"
"39","2017-01-14 12:05:00","142","143","7","8","7","7"
"39","2017-01-16 12:05:00","97","98","7","4","7","7"
"39","2017-01-17 12:05:00","81","81","6","7","7","7"
"39","2017-01-19 12:05:00","101","104","3","1","7","7"
"39","2017-01-20 12:05:00","104","105","5","6","7","7"
"39","2017-01-21 12:05:00","154","154","1","1","7","7"
"39","2017-01-22 12:05:00","114","122","5","4","7","7"
"39","2017-01-23 12:05:00","99","99","2","1","7","7"
"39","2017-01-24 12:05:00","84","88","4","4","7","7"
"39","2017-01-25 12:05:00","99","102","4","4","7","7"
"39","2017-01-26 12:05:00","148","150","5","3","7","7"
"39","2017-01-27 12:05:00","168","168","8","1","7","7"
"39","2017-01-28 12:05:00","110","154","3","24","7","14"
"39","2017-01-29 12:05:00","152","154","12","8","7","7"
"39","2017-01-30 12:05:00","122","129","2","3","7","7"
"39","2017-01-31 12:05:00","151","152","2","2","7","7"
"41","2017-01-27 20:40:00","161","168","0","8","7","7"
"43","2017-01-01 18:25:00","152","156","8","12","7","7"
"43","2017-01-02 18:25:00","165","176","2","2","6","6"
"43","2017-01-03 18:25:00","165","168","7","8","7","7"
"43","2017-01-04 18:25:00","161","168","8","8","7","7"
"43","2017-01-05 18:25:00","152","166","8","6","7","7"
"43","2017-01-06 18:25:00","146","156","12","12","7","7"
"43","2017-01-07 18:25:00","161","168","6","8","6","7"
"43","2017-01-08 18:25:00","167","168","8","8","7","7"
"43","2017-01-09 18:25:00","152","154","12","12","7","7"
"43","2017-01-10 18:25:00","145","152","2","3","6","6"
"43","2017-01-11 18:25:00","166","176","3","3","7","7"
"43","2017-01-12 18:25:00","153","156","4","4","7","7"
"43","2017-01-13 18:25:00","159","158","5","4","7","7"
"43","2017-01-14 18:25:00","145","161","2","3","7","7"
"43","2017-01-15 18:25:00","149","156","10","12","7","7"
"43","2017-01-16 18:25:00","155","156","6","5","7","7"
"43","2017-01-17 18:25:00","168","168","4","2","7","7"
"43","2017-01-18 18:25:00","165","168","5","8","7","7"
"43","2017-01-19 18:25:00","125","140","5","3","7","7"
"43","2017-01-20 18:25:00","167","168","8","8","7","7"
"43","2017-01-21 18:25:00","164","173","2","2","7","7"
"43","2017-01-22 18:25:00","163","170","0",,"7","7"
"43","2017-01-23 18:25:00","133","140","4","2","7","7"
"43","2017-01-24 18:25:00","130","138","0",,"7","7"
"43","2017-01-25 18:25:00","166","168","7","8","7","7"
"43","2017-01-26 18:25:00","163","168","5","8","7","7"
"43","2017-01-27 18:25:00","154","154","12","12","7","7"
"43","2017-01-28 18:25:00","165","168","2","8","7","7"
"43","2017-01-29 18:25:00","164","168","8","8","7","7"
"43","2017-01-30 18:25:00","166","175","4","8","7","7"
"43","2017-01-31 18:25:00","151","156","8","12","7","7"
"45","2017-01-13 10:15:00","139","147","1","1","6","6"
"47","2017-01-07 07:50:00","154","166","12",,"7","7"
"47","2017-01-14 07:50:00","137","140","0",,"7","7"
"47","2017-01-21 07:50:00","105","105","4","4","7","7"
"47","2017-01-28 07:50:00","158","168","2","4","7","7"
"49","2017-01-01 15:15:00","155","167","7",,"6","6"
"49","2017-01-02 15:15:00","154","166","5",,"7","6"
"49","2017-01-03 15:15:00","150","154","12","12","7","7"
"49","2017-01-04 15:15:00","156","156","12","12","7","7"
"49","2017-01-05 15:15:00","153","166","12",,"7","7"
"49","2017-01-06 15:15:00","153","168","11",,"7","7"
"49","2017-01-07 15:15:00","168","168","8","8","7","7"
"49","2017-01-08 15:15:00","147","154","12","12","7","7"
"49","2017-01-09 15:15:00","153","154","11","12","7","8"
"49","2017-01-10 15:15:00","154","154","12","13","7","7"
"49","2017-01-11 15:15:00","154","162","4","1","6","6"
"49","2017-01-12 15:15:00","153","156","11","12","7","7"
"49","2017-01-13 15:15:00","156","156","7","10","7","7"
"49","2017-01-14 15:15:00","150","159","0",,"7","7"
"49","2017-01-15 15:15:00","154","156","10","12","6","7"
"49","2017-01-16 15:15:00","152","154","12","2","7","7"
"49","2017-01-17 15:15:00","128","130","4","4","6","6"
"49","2017-01-18 15:15:00","144","150","1","2","7","7"
"49","2017-01-19 15:15:00","140","150","5","4","7","7"
"49","2017-01-20 15:15:00","145","145","7","7","7","7"
"49","2017-01-21 15:15:00","155","158","3","3","7","7"
"49","2017-01-22 15:15:00","167","168","7","7","7","7"
"49","2017-01-23 15:15:00","139","144","1","1","6","6"
"49","2017-01-24 15:15:00","133","136","4","4","6","6"
"49","2017-01-25 15:15:00","153","154","11","12","7","7"
"49","2017-01-26 15:15:00","153","155","8","12","7","7"
"49","2017-01-27 15:15:00","155","156","9","12","6","7"
"49","2017-01-29 15:15:00","167","174","6","6","7","7"
"49","2017-01-30 15:15:00","168","168","7","8","7","7"
"49","2017-01-31 15:15:00","154","156","8","8","7","7"
"51","2017-01-01 23:35:00","153","155","2","8","7","7"
"51","2017-01-02 23:35:00","156","163","4",,"6","6"
"51","2017-01-03 23:35:00","151","156","6","9","7","7"
"51","2017-01-04 23:35:00","156","156","9","9","7","7"
"51","2017-01-05 23:35:00","160","160","7","12","7","7"
"51","2017-01-06 23:35:00","167","168","3","4","6","6"
"51","2017-01-07 23:35:00","113","126","3","3","6","6"
"51","2017-01-08 23:35:00","118","124","1","1","7","7"
"51","2017-01-09 23:35:00","104","112","4","4","6","6"
"51","2017-01-10 23:35:00","94","102","1","2","7","7"
"51","2017-01-11 23:35:00","89","91","6","7","6","6"
"51","2017-01-12 23:35:00","113","121","3","3","6","6"
"51","2017-01-13 23:35:00","111","111","12","12","6","6"
"51","2017-01-15 23:35:00","118","124","3","3","6","6"
"51","2017-01-16 23:35:00","88","94","0",,"6","6"
"51","2017-01-18 23:35:00","95","103","2","2","6","6"
"51","2017-01-19 23:35:00","106","109","8","8","6","6"
"51","2017-01-20 23:35:00","156","156","7","7","6","6"
"51","2017-01-21 23:35:00","90","95","1","1","6","6"
"51","2017-01-22 23:35:00","99","107","3","3","6","6"
"51","2017-01-23 23:35:00","95","98","2","2","6","6"
"51","2017-01-24 23:35:00","82","83","4","2","6","6"
"51","2017-01-25 23:35:00","123","123","3","1","6","6"
"51","2017-01-26 23:35:00","140","145","6","4","6","6"
"51","2017-01-27 23:35:00","142","154","8","8","7","7"
"51","2017-01-28 23:35:00","144","148","2","2","6","6"
"51","2017-01-29 23:35:00","91","98","5","5","7","7"
"51","2017-01-31 23:35:00","109","115","3","3","6","6"
"71","2017-01-01 21:40:00","115","128","1","1","6","6"
"71","2017-01-02 21:40:00","122","134","6","6","6","6"
"71","2017-01-03 21:40:00","124","131","2","2","6","6"
"71","2017-01-04 21:40:00","130","142","2","1","6","6"
"71","2017-01-05 21:40:00","137","147","5","3","6","6"
"71","2017-01-06 21:40:00","139","142","3","4","6","6"
"71","2017-01-07 21:40:00","149","154","2","3","6","6"
"71","2017-01-08 21:40:00","132","145","7","6","6","6"
"71","2017-01-09 21:40:00","149","155","12","11","6","6"
"71","2017-01-10 21:40:00","134","144","9","3","6","6"
"71","2017-01-11 21:40:00","153","154","6","4","6","7"
"71","2017-01-12 21:40:00","152","156","7","6","6","6"
"71","2017-01-13 21:40:00","141","144","3","4","7","7"
"71","2017-01-14 21:40:00","124","126","0",,"6","6"
"71","2017-01-15 21:40:00","116","120","3","3","6","6"
"71","2017-01-16 21:40:00","148","155","9","6","6","6"
"71","2017-01-17 21:40:00","130","134","8","8","6","6"
"71","2017-01-18 21:40:00","114","116","3","3","6","6"
"71","2017-01-19 21:40:00","122","128","6","3","6","6"
"71","2017-01-20 21:40:00","144","148","8","8","6","6"
"71","2017-01-21 21:40:00","125","125","4","5","6","6"
"71","2017-01-22 21:40:00","142","148","4","2","6","6"
"71","2017-01-23 21:40:00","152","159","1",,"6","6"
"71","2017-01-24 21:40:00","149","153","6","4","6","6"
"71","2017-01-25 21:40:00","165","168","8","8","6","6"
"71","2017-01-26 21:40:00","152","156","9","9","6","6"
"71","2017-01-27 21:40:00","136","142","5","2","6","7"
"71","2017-01-28 21:40:00","144","150","5","3","6","6"
"71","2017-01-29 21:40:00","122","124","3","3","6","6"
"71","2017-01-30 21:40:00","133","139","3","3","6","6"
"71","2017-01-31 21:40:00","124","134","12","6","6","6"
"73","2017-01-01 10:10:00","154","154","2","1","6","6"
"73","2017-01-02 10:10:00","136","141","2","2","6","6"
"73","2017-01-03 10:10:00","142","150","3","3","6","6"
"73","2017-01-04 10:10:00","150","156","7","9","6","6"
"73","2017-01-05 10:10:00","139","145","2","1","6","6"
"73","2017-01-06 10:10:00","153","156","2","2","6","6"
"73","2017-01-08 10:10:00","138","151","12","4","6","6"
"73","2017-01-09 10:10:00","140","150","5","2","6","6"
"73","2017-01-10 10:10:00","144","146","4","5","6","6"
"73","2017-01-11 10:10:00","150","154","12","13","6","6"
"73","2017-01-12 10:10:00","138","141","3","1","6","6"
"73","2017-01-13 10:10:00","105","109","5","2","6","6"
"73","2017-01-15 10:10:00","147","150","11","11","6","6"
"73","2017-01-16 10:10:00","110","112","4","4","6","6"
"73","2017-01-17 10:10:00","84","87","5","5","6","6"
"73","2017-01-18 10:10:00","84","90","3","3","6","6"
"73","2017-01-19 10:10:00","81","83","2","2","6","6"
"73","2017-01-20 10:10:00","111","117","1","1","6","6"
"73","2017-01-22 10:10:00","148","158","4","4","6","6"
"73","2017-01-23 10:10:00","141","146","7","7","6","6"
"73","2017-01-24 10:10:00","100","109","7","3","6","6"
"73","2017-01-25 10:10:00","80","94","7","4","6","6"
"73","2017-01-26 10:10:00","129","137","6","2","6","6"
"73","2017-01-27 10:10:00","86","92","1","1","6","6"
"73","2017-01-29 10:10:00","152","154","3","2","6","6"
"73","2017-01-30 10:10:00","109","113","4","4","6","6"
"73","2017-01-31 10:10:00","111","113","11","12","6","6"
"79","2017-01-01 17:40:00","167","167","0",,"6","6"
"91","2017-01-07 11:50:00","135","142","4","4","6","7"
"107","2017-01-07 18:30:00","137","156","8","16","6","12"
"107","2017-01-14 18:30:00","146","161","8","16","6","12"
"107","2017-01-21 18:30:00","154","157","7","14","6","12"
"107","2017-01-28 18:30:00","145","155","3","6","6","12"
"109","2017-01-02 20:55:00","113","116","2","6","6","12"
"109","2017-01-03 20:55:00","85","88","1","2","6","12"
"109","2017-01-04 20:55:00","152","157","2","4","6","12"
"109","2017-01-05 20:55:00","151","156","5","10","6","12"
"109","2017-01-06 20:55:00","130","134","2","4","6","12"
"109","2017-01-08 20:55:00","135","138","12","24","6","12"
"109","2017-01-09 20:55:00","136","140","8","16","6","12"
"109","2017-01-10 20:55:00","156","160","5","11","6","12"
"109","2017-01-11 20:55:00","141","150","8","16","7","14"
"109","2017-01-12 20:55:00","115","149","2","4","6","12"
"109","2017-01-13 20:55:00","160","165","3","10","6","12"
"109","2017-01-15 20:55:00","148","162","4","8","6","12"
"109","2017-01-16 20:55:00","160","167","6","12","6","12"
"109","2017-01-17 20:55:00","133","164","3","6","6","12"
"109","2017-01-18 20:55:00","165","167","5","12","6","12"
"109","2017-01-19 20:55:00","159","162","5","10","6","12"
"109","2017-01-20 20:55:00","151","164","6","12","6","12"
"109","2017-01-22 20:55:00","152","159","8","16","6","12"
"109","2017-01-23 20:55:00","159","163","3","6","7","14"
"109","2017-01-24 20:55:00","141","147","7","14","6","12"
"109","2017-01-25 20:55:00","128","131","8","16","7","14"
"109","2017-01-26 20:55:00","148","154","6","12","6","12"
"109","2017-01-27 20:55:00","150","154","6","12","6","12"
"109","2017-01-29 20:55:00","157","158","8","16","6","12"
"109","2017-01-30 20:55:00","145","150","8","16","6","12"
"109","2017-01-31 20:55:00","135","142","3","6","6","12"
"115","2017-01-01 21:20:00","61","67","5","10","6","12"
"115","2017-01-02 21:20:00","99","104","4","8","6","12"
"115","2017-01-03 21:20:00","100","107","3","6","6","12"
"115","2017-01-04 21:20:00","70","81","5","10","6","12"
